Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
MasterChef Indonesia;2000;13+; Game-Show, Reality-TV            ;;8,4;50;Fabian Dharmawan;Juna Rorimpandey;Degan Septoadji;Vindex Tengker;Rinrin Marinka
Geez & Ann;2021;TV-14; Drama, Romance            ;105 min;5,1;295;Rizki Balki;Junior Roberts;Hanggini;Roy Sungkono;Shenina Cinnamon
I Hear(t) You;2021;13+; Fantasy, Romance            ;;4,4;26;Adhisty Zara;Junior Roberts;Hasyakyla Utami;Justin Adiwinata;N/A
Geez & Ann the Series;2021;R13+; Drama, Romance            ;;4,1;26;Rizki Balki;Junior Roberts;Roy Sungkono;Nimaz Dewantary;Hanggini
Cewek Saweran;2011;13+; Drama            ;84 min;4,5;9;Eddie Cahyono;Juwita Bahar;Djaduk Ferianto;Kriss Hatta;Harry Izwan
Riwayat Ceti;2022;13+; Short, Drama            ;24 min;;;Azalia Muchransyah;Kak Jek;Dea Panendra;Nino Prabowo;Den Bagus Sasono
Sementara Syahrul;2019;13+; Short, Drama            ;24 min;;;Paul Manurung;Kak Jek;N/A;N/A;N/A
Project Al Amin;2020;13+; Short, Drama            ;24 min;;;Rayhan Dermawan;Kak Jek;N/A;N/A;N/A
Zharfa;2019;13+; Drama            ;96 min;6,6;5;Ruli Wanisar;Kaka Azraff;Donny Alamsyah;Betari Ayu;Shelomita
Among the Trees;2014;13+; Short, Crime            ;20 min;;;Adi Wijananda;Kamerad Edmond;Bagus Ekovich;Mohammad Erlangga;Luthfi Fawwaz
Rock in Solo: The Return;2013;13+; Documentary            ;;;;Kamerad Edmond;Kamerad Edmond;Haris Kartasumitra;Yuka Dian Narendra;N/A
Sukep: The Movie;2019;13+; Comedy, Drama            ;113 min;7,5;6;Akil Wasa;Kamil Onte;Ivan Seventeen;Irfan Govinda;Andri Novianto
You and I;2020;13+; Documentary            ;76 min;6,7;7;Fanny Chotimah;Kaminah;Kusdalini;N/A;N/A
If This Is My Story;2018;13+; Drama            ;75 min;;;Djenar Maesa Ayu;Kan Lume;Sha Ine Febriyanti;Reza Rahadian;Cornelio Sunny
Raksasa Dari Jogja;2016;13+; Drama            ;100 min;7,4;5;Monty Tiwa;Karina Salim;Abrar Adrian;Unique Priscilla;Ray Sahetapy
Mantan Terindah;2014;13+; Drama            ;102 min;;;Farishad I. Latjuba;Karina Salim;Edward Akbar;Salvita Decorte;Ray Sahetapy
Culas;2021;13+; Short, Drama            ;24 min;;;Sabrina Rochelle Kalangie;Karina Salim;Galabby Thahira;Satria Agustani;Aline Jusria
Durable Love;2012;R; Short, Drama, Romance            ;11 min;7,2;9;Joko Anwar;Karina Salim;Sadha Triyudha;N/A;N/A
Bisa Dèwèk;2000;13+; Documentary, Short, History            ;43 min;;;Rhino Ariefiansyah;Karsinah Juntinyuat;N/A;N/A;N/A
The Lawyers: Pokrol Bambu;2019;17+; Comedy, Drama            ;90 min;;;Dicky Chandra;Kartika Berliana;Roy Marten;Jerio Jefry;N/A
4th Floor;2019;13+; Short, Horror            ;7 min;;;Rama DeRanau;Katarina Dumais;Rezki Fadlun;Khayla Maharani;N/A
The Photograph;2007;13+; Drama            ;94 min;6,7;261;Nan Triveni Achnas;Kay Tong Lim;Shanty;Lukman Sardi;Indi Barends
A Rainbow to Nirmala;2022;13+; Drama, Family, Fantasy            ;10 min;;;M. Haikal;Kayla Kalaoun;Raya Adena Syah;M. Fauzan;Ciara Nadine Brosnan
Lara Ati;2022;13+; Comedy            ;116 min;;;Bayu Skak;Keisya Levronka;Dono Pradana;Bayu Skak;Sahila Hisyam
Java Heat;2013;R; Action, Crime, Thriller            ;104 min;5,1;4,858;Conor Allyn;Kellan Lutz;Verdi Solaiman;Mickey Rourke;Ario Bayu
Youtubers;2015;13+; Comedy, Romance            ;96 min;5,4;13;Jovial Da Lopez;Kemal Palevi;Jovial Da Lopez;Andovi Da Lopez;Anggika Bolsterli
Jagoan Instan;2016;TV-Y7; Action, Adventure, Comedy            ;96 min;5;33;Fajar Bustomi;Kemal Palevi;Kevin Julio;Anisa Rahma;Dede Yusuf
Tak Kemal Maka Tak Sayang;2014;13+; Comedy            ;85 min;5,7;40;Fajar Bustomi;Kemal Palevi;Laudya Cynthia Bella;Indah Permatasari;Ajun Perwira
Liburan seruuu...!!;2008;SU; Drama;97 min;;;Sofyan D. Surza;Ken Nala Amrytha;Intan Azura;Arsenna Moch. Rahadi;Quinsha Jasmine Haq
Angkringan;2021;13+; Drama            ;;7,4;8;Adriyanto Dewo;Kenes Andari;Arawinda Kirana;Zack Lee;Dwi Sasono
Mata Dewa;2018;13+; Drama, Sport            ;80 min;7,4;16;Andibachtiar Yusuf;Kenny Austin;Brandon Salim;Agatha Chelsea;Nino Fernandez
Anak Hoki;2019;13+; Drama            ;97 min;5,1;15;Ginanti Rona;Kenny Austin;Nadine Waworuntu;Lolox;Chris Laurent
Satu Rumpun?;2009;SU; Comedy            ;90 min;9;7;Arci Fadillah;Kenzo Abduh;Golam Sarwar Harun;Kamal Hossein;Sheilla Nastassia
On Mother's Head;2013;13+; Documentary            ;94 min;;;Putu Kusuma Wijaja;Ketut Norsy;Me Sari;N/A;N/A
Berandalliar;2016;13+; Short, Action            ;23 min;;;Dirar Renaldi;Kevin Adiguna;Afwanda Andriansyah;Adam Bagas;Dio Bayu
Adagium;2016;13+; Short, Action, Crime            ;23 min;9,8;14;Bobby Zarkasih;Kevin Agung;Pascal Esatama;Kemas Heryawan;Amalia Nissa
Inside Mind;2015;13+; Short, Action, Sci-Fi            ;12 min;;;Kevin Anderson;Kevin Anderson;Sabrina Athika;Galih Galinggis;N/A
Micin Generation;2018;13+; Comedy, Drama            ;88 min;5,6;122;Fajar Nugros;Kevin Anggara;Clairine Clay;Morgan Oey;Joshua Suherman
The Break Upper;2021;13+; Drama, Romance            ;15 min;;;Febby Rastanty;Kevin Ardilova;Carmela van der Kruk;Allya Syakila;N/A
Married with Senior;2022;R13+; Drama, Romance            ;43 min;5,8;49;Angling Sagaran;Kevin Ardilova;Jourdy Pranata;Shenina Cinnamon;Caitlin Halderman
Kabut;2021;R13+; Horror, Thriller            ;66 min;6;9;Indra Gunawan;Kevin Ardilova;Sara Fajira;Asrul Dahlan;Alfie Alfandi
The Intern;2015;13+; Drama            ;;8,8;6;Nancy Meyers;Kevin Ardilova;Sere Kalina;Jajang C. Noer;Bobie Antonio
Autobiography;2022;13+; Drama, Thriller            ;116 min;7,7;41;Makbul Mubarak;Kevin Ardilova;Yusuf Mahardika;Arswendy Bening Swara;Lukman Sardi
Selalu Cantik;2017;13+; Short, Romance            ;13 min;;;Pritagita Arianegara;Kevin Hendrawan;Pamela Bowie;N/A;N/A
Pertama Kali;2017;13+; Short, Romance            ;12 min;;;Pritagita Arianegara;Kevin Hendrawan;Rachel Amanda;Gritte Agatha;Chicco Kurniawan
Siapa takut orang ketiga;2022;13+; Drama            ;55 min;;;Vemmy Sagita;Kevin Julio;Aurora Ribero;Fero Walandouw;Mischa Chandrawinata
Akad;2022;R13+; Comedy, Drama, Romance            ;90 min;5,9;11;Reka Wijaya;Kevin Julio;Indah Permatasari;Mathias Muchus;Nino Fernandez
Surprised Marriage;2021;D17+; Comedy, Drama, Romance            ;;7,6;25;Aurora Ribero;Kevin Julio;Stefhani Zamora Husen;Revaldo;Aurora Ribero
Kembalinya Nenek Gayung;2013;13+; Comedy, Horror            ;98 min;4,9;19;Shakuntala;Kevin Julio;Yadi Sembako;Joe Richard;Jesika Danies
Cinta Nikita;2021;13+; Drama            ;100 min;;;Gita Asmara;Kevin Kambey;Hana Saraswati;Nikita Willy;Rizky Billar
Tamasya Keluarga;2015;13+; Short, Drama            ;12 min;;;Tengku Iskhandar;Kevin Kautsar;R.R. Pinurti;Indah Siauw;Ronny P. Tjandra
Familiar Stranger;2014;13+; Short, Drama            ;3 min;;;Filbert Tanuwijaya;Kevin Lam;Dwiyana Savira;N/A;N/A
My Little Bear;2016;13+; Short, Comedy, Drama            ;9 min;;;Winner Wijaya;Kezia Calesta;Elaine Hartanto;Rayner Wijaya;N/A
Gara-Gara Bola;2008;13+; Comedy, Sport            ;75 min;5,2;50;Agasyah Karim;Khalid Kashogi;Winky Wiryawan;Herjunot Ali;Tarzan
Kisah 3 Tahun;2020;13+; Short, Drama            ;17 min;;;Dara Roshertanty;Khiva Iskak;Runny Rudiyanti;Sheila Miranda Bell;N/A
Polisi Maling;2018;13+; Short, Crime            ;18 min;;;Randolph Zaini;Khiva Iskak;Verdi Solaiman;Subur Sukirman;Bob Christopher
212: The Power of Love;2018;13+; Drama, History            ;85 min;4,9;97;Jastis Arimba;Kholidi Asadil Alam;Fauzi Baadila;Adhin Abdul Hakim;Asma Nadia
When Love Hymn;2009;13+; Drama, Romance            ;120 min;6,1;196;Chaerul Umam;Kholidi Asadil Alam;Oki Setiana Dewi;Alice Norin;Andi Arsyil Rahman
When Love Hymn 2;2009;13+; Drama, Romance            ;120 min;6,3;120;Chaerul Umam;Kholidi Asadil Alam;Oki Setiana Dewi;Alice Norin;Andi Arsyil Rahman
ManDove;2011;13+; Documentary            ;72 min;;;Jim de Sève;Kian Tjong;N/A;N/A;N/A
Neo Batavia;2017;13+; Drama, Comedy;;;;Nadya Maudy;Kichiro Tjiptawidjaya;Alver Firmaz;Gusty Pratama;N/A
Di Mana Melani;2010;13+; Thriller            ;;;;Irish Bella;Kiki Farrel;Estelle Linden;Restu Sinaga;N/A
Necessity of Life;2021;13+; Short, Drama            ;17 min;;;Kevin Rahardjo;Kiki Narendra;Runny Rudiyanti;N/A;N/A
