Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Satan's Slaves;2017;17+; Drama, Horror, Mystery            ;107;6,5;9367;Joko Anwar;Tara Basro;Bront Palarae;Dimas Aditya;Endy Arfian
A Copy of My Mind;2015;TV-MA; Drama            ;116;7,1;916;Joko Anwar;Tara Basro;Chicco Jerikho;Maera Panigoro;Paul Agusta
Satan's Slaves: Communion;2022;13+; Drama, Horror, Mystery            ;119;7,3;1448;Joko Anwar;Tara Basro;Endy Arfian;Nasar Annuz;Bront Palarae
Another Trip to the Moon;2015;13+; Drama, Fantasy            ;80;6,2;66;Ismail Basbeth;Tara Basro;Ratu Anandita;Cornelio Sunny;Endang Sukeksi
Goyang Kubur Mandi Darah;2018;13+; Short, Horror            ;12;7,5;6;Azzam Fi Rullah;Tara Ellena;Pucil Nataart;Sigit Pradityo;Venna Violita
Galau;2014;13+; Short, Drama, Mystery            ;17;3,1;14;Sandeep Ray;Tariq Khalil;;;
Berangkat!;2017;13+; Adventure, Comedy, Drama            ;94;7,2;23;Naya Anindita;Tarra Budiman;Ayushita;Ringgo Agus Rahman;Tanta Ginting
Taman Lawang;2013;13+; Comedy, Horror            ;83;7,7;24;Aditya Gumay;Tarra Budiman;Ferry Irawan;Chand Kelvin;Nikita Mirzani
Suami-Suami Masa Kini;2022;18+; Comedy, Drama            ;45;7,5;25;Ody C. Harahap;Tarra Budiman;Ringgo Agus Rahman;Marcell Darwin;Tanta Ginting
Nightfly;2016;13+; Documentary, Short, Drama            ;7;9,9;26;Terrizqo Arief Sutansyah;Tata Angelina;Endeng Hartana;;
Indonesia dalam Slowmotion;2015;13+; Short            ;12;4,3;27;Wowo Watumas Sacawikarta;Tatang Kosasih;;;
Runaway;2014;13+; Action, Crime, Drama            ;90;6,8;28;Guntur Soeharjanto;Tatjana Saphira;Al Ghazali;Edward Akbar;Dewi Irawan
Negeri Van Oranje;2015;17+; Adventure, Drama, Romance            ;97;7,2;300;Endri Pelita;Tatjana Saphira;Chicco Jerikho;Abimana Aryasatya;Arifin Putra
Ghost Writer 2;2022;TV-14; Comedy, Drama, Horror            ;116;7,7;45;Muhadkly Acho;Tatjana Saphira;Deva Mahenra;Widyawati;Endy Arfian
I Am Hope;2016;13+; Drama            ;115;7,3;18;Adilla Dimitri;Tatjana Saphira;Fachry Albar;Ray Sahetapy;Febby Febiola
Ghost Writer;2019;TV-14; Comedy, Drama, Horror            ;97;6,6;445;Bene Dion Rajagukguk;Tatjana Saphira;Ge Pamungkas;Deva Mahenra;Ernest Prakasa
Sweet Twenty;2017;TV-14; Comedy, Fantasy, Music            ;110;7,2;413;Ody C. Harahap;Tatjana Saphira;Niniek L. Karim;Morgan Oey;Kevin Julio
Perempuan Bergaun Merah;2022;13+; Horror            ;91;6,6;25;William Chandra;Tatjana Saphira;Refal Hady;Stella Cornelia;Faradina Mufti
Switch;2017;13+; Drama, Fantasy, Romance            ;24;8,3;26;Karina Salim;Tatyana Akman;Morgan Oey;Imam Wahyudi;
Cinta Sendiri;2019;13+; Short, Romance            ;12;2,5;27;Dimas Adjie;Tavi Ni Amida;Nashwa Hadaya;Reza Ramadhan;
Heaven of children;2016;13+; Short, Drama            ;5;6,8;28;Amir Masoud Soheili;Teatra Abram Tabriz;Binar Mutiara Yahya;;
Menggapai Ikatan Cinta;2022;13+; Comedy, Drama, Romance            ;30;9,8;9;Yogi Yose;Tegar Satrya;Shandy William;Surya Saputra;Kiki Narendra
The Underdog;2011;13+; Short, Crime, Drama            ;27;9;6;Roby Eka;Tegar Widyalaksono;Tanasya Noer;Rheza Adidarma;Oki Maulana
Mata pena mata hati Raja Ali Haji;2009;13+; Drama;95;8,8;20;Gunawan Paggaru;Teja Alhabd;Henidar Amroe;Andi Anhar Chalid;Alex Komang
Prospective Mother to Son;2012;13+; Drama            ;60;6,3;35;Stefan William;Temmy Rahadi;Della Puspita;Rini Yulianti;
Suatu Hari di Tempat Pemancingan;2021;13+; Short, Comedy, Drama            ;19;3,9;50;Rifki Rifaldi;Teno Ali;Agus Lemu Radia;Aris Sunaryo;Sujad Samiaji
Knock Out Girl;2018;13+; Drama, Sport            ;45;3,8;65;Giorgino Abraham;Teno Ali;Windy Apsari;Pamela Bowie;
Rintihan Kuntilanak Perawan;2010;13+; Horror            ;90;3,8;80;Yoyok Subagyo;Tera Patrick;Angel Lelga;Christian Nino;Andreano Philip
My Beloved Atjeh;2016;13+; Documentary, Short, Drama            ;24;2,6;49;Syaiful Halim;Teuku Reza Idria;Munawar;Teuku Abdul Razak;
Lukisan Ratu Kidul;2019;17+; Horror            ;90;5,9;19;Ginanti Rona;Teuku Zacky;Ussy Sulistiawaty;Wafda Saifan Lubis;Annisa Aurelia
After Met You;2019;13+; Drama            ;107;6,3;112;Patrick Effendy;Thaleb Wahjudi;Ari Irham;Yoriko Angeline;Michelle Wanda
Lawang Sewu;2007;13+; Horror            ;112;5,1;439;Arie Azis;Thalita Latief;Marcell Darwin;Melvin Giovanie;Tsania Marwa
The Seen and Unseen;2017;13+; Drama            ;83;6,7;376;Kamila Andini;Thaly Titi Kasih;Ida Bagus Putu Radithya Mahijasena;Ayu Laksmi;Ketut Rina
Aroma of Heaven;2014;SU; Documentary            ;66;9,1;14;Budi Kurniawan;Thamar Beckx;Cornelis Gae;Surip Mawardi;Tuti Muchtar
The Sacred Riana: Beginning;2019;17+; Horror            ;111;4,6;126;Billy Christian;The Sacred Riana;Aura Kasih;Agatha Chelsea;Prabu Revolusi
